Order_ID,Order_Date,Order_Time,Product,Category,Quantity,Unit_Price,Total_Amount,Payment_Method,Location,Hour,Day,Month,Weekday,Day_Name,Month_Name,Is_Weekend,Peak_Hour
ORD000001,2024-01-01,08:07,Americano,Coffee,2,50,100,Card,Chennai,8,1,1,Monday,Monday,January,False,True
ORD000002,2024-01-01,08:12,Cake,Food,3,55,165,Card,Chennai,8,1,1,Monday,Monday,January,False,True
ORD000003,2024-01-01,08:21,Mocha,Coffee,1,60,60,Cash,Madurai,8,1,1,Monday,Monday,January,False,True
ORD000004,2024-01-01,09:50,Espresso,Coffee,2,35,70,UPI,Coimbatore,9,1,1,Monday,Monday,January,False,True
ORD000005,2024-01-01,09:53,Sandwich,Food,1,40,40,Card,Tanjore,9,1,1,Monday,Monday,January,False,True
ORD000006,2024-01-01,10:16,Espresso,Coffee,4,40,160,Card,Chennai,10,1,1,Monday,Monday,January,False,True
ORD000007,2024-01-01,10:18,Mocha,Coffee,1,55,55,Card,Tanjore,10,1,1,Monday,Monday,January,False,True
ORD000008,2024-01-01,10:36,Latte,Coffee,2,70,140,UPI,Chennai,10,1,1,Monday,Monday,January,False,True
ORD000009,2024-01-01,10:38,Cold Coffee,Cold Drinks,2,55,110,Cash,Madurai,10,1,1,Monday,Monday,January,False,True
ORD000010,2024-01-01,10:45,Cappuccino,Coffee,3,60,180,Card,Chennai,10,1,1,Monday,Monday,January,False,True
ORD000011,2024-01-01,10:57,Cappuccino,Coffee,2,45,90,Card,Madurai,10,1,1,Monday,Monday,January,False,True
ORD000012,2024-01-01,11:10,Americano,Coffee,4,35,140,UPI,Tanjore,11,1,1,Monday,Monday,January,False,True
ORD000013,2024-01-01,11:23,Tea,Tea,3,20,60,UPI,Chennai,11,1,1,Monday,Monday,January,False,True
ORD000014,2024-01-01,11:38,Tea,Tea,1,15,15,UPI,Tanjore,11,1,1,Monday,Monday,January,False,True
ORD000015,2024-01-01,11:42,Americano,Coffee,3,35,105,UPI,Tanjore,11,1,1,Monday,Monday,January,False,True
ORD000016,2024-01-01,11:54,Tea,Tea,1,18,18,UPI,Coimbatore,11,1,1,Monday,Monday,January,False,True
ORD000017,2024-01-01,12:07,Tea,Tea,2,15,30,UPI,Tanjore,12,1,1,Monday,Monday,January,False,False
ORD000018,2024-01-01,12:10,Cappuccino,Coffee,3,40,120,Cash,Tanjore,12,1,1,Monday,Monday,January,False,False
ORD000019,2024-01-01,12:18,Americano,Coffee,2,45,90,UPI,Coimbatore,12,1,1,Monday,Monday,January,False,False
ORD000020,2024-01-01,12:25,Cappuccino,Coffee,1,45,45,UPI,Madurai,12,1,1,Monday,Monday,January,False,False
ORD000021,2024-01-01,12:44,Cappuccino,Coffee,4,55,220,UPI,Coimbatore,12,1,1,Monday,Monday,January,False,False
ORD000022,2024-01-01,12:49,Mocha,Coffee,4,60,240,UPI,Madurai,12,1,1,Monday,Monday,January,False,False
ORD000023,2024-01-01,12:49,Cake,Food,1,50,50,Card,Coimbatore,12,1,1,Monday,Monday,January,False,False
ORD000024,2024-01-01,12:52,Mocha,Coffee,4,60,240,UPI,Madurai,12,1,1,Monday,Monday,January,False,False
ORD000025,2024-01-01,12:52,Sandwich,Food,3,40,120,Card,Tanjore,12,1,1,Monday,Monday,January,False,False
ORD000026,2024-01-01,12:53,Sandwich,Food,2,60,120,Card,Chennai,12,1,1,Monday,Monday,January,False,False
ORD000027,2024-01-01,13:01,Cold Coffee,Cold Drinks,4,75,300,Card,Chennai,13,1,1,Monday,Monday,January,False,False
ORD000028,2024-01-01,13:07,Sandwich,Food,1,45,45,Card,Madurai,13,1,1,Monday,Monday,January,False,False
ORD000029,2024-01-01,13:09,Latte,Coffee,3,50,150,Card,Madurai,13,1,1,Monday,Monday,January,False,False
ORD000030,2024-01-01,13:09,Latte,Coffee,2,50,100,Cash,Madurai,13,1,1,Monday,Monday,January,False,False
ORD000031,2024-01-01,13:11,Tea,Tea,2,18,36,Card,Coimbatore,13,1,1,Monday,Monday,January,False,False
ORD000032,2024-01-01,13:12,Latte,Coffee,3,50,150,UPI,Madurai,13,1,1,Monday,Monday,January,False,False
ORD000033,2024-01-01,13:13,Cappuccino,Coffee,4,55,220,Card,Coimbatore,13,1,1,Monday,Monday,January,False,False
ORD000034,2024-01-01,13:21,Latte,Coffee,3,50,150,Cash,Madurai,13,1,1,Monday,Monday,January,False,False
ORD000035,2024-01-01,13:26,Sandwich,Food,4,40,160,Card,Tanjore,13,1,1,Monday,Monday,January,False,False
ORD000036,2024-01-01,13:28,Mocha,Coffee,1,75,75,UPI,Coimbatore,13,1,1,Monday,Monday,January,False,False
ORD000037,2024-01-01,13:31,Sandwich,Food,3,55,165,Cash,Coimbatore,13,1,1,Monday,Monday,January,False,False
ORD000038,2024-01-01,13:33,Mocha,Coffee,1,55,55,Cash,Tanjore,13,1,1,Monday,Monday,January,False,False
ORD000039,2024-01-01,13:37,Americano,Coffee,3,50,150,Card,Chennai,13,1,1,Monday,Monday,January,False,False
ORD000040,2024-01-01,13:37,Tea,Tea,2,20,40,Cash,Chennai,13,1,1,Monday,Monday,January,False,False
ORD000041,2024-01-01,13:42,Mocha,Coffee,4,55,220,Cash,Tanjore,13,1,1,Monday,Monday,January,False,False
ORD000042,2024-01-01,13:44,Latte,Coffee,4,45,180,Cash,Tanjore,13,1,1,Monday,Monday,January,False,False
ORD000043,2024-01-01,13:45,Americano,Coffee,2,35,70,UPI,Tanjore,13,1,1,Monday,Monday,January,False,False
ORD000044,2024-01-01,13:48,Cold Coffee,Cold Drinks,2,70,140,UPI,Coimbatore,13,1,1,Monday,Monday,January,False,False
ORD000045,2024-01-01,13:52,Cake,Food,3,50,150,Cash,Coimbatore,13,1,1,Monday,Monday,January,False,False
ORD000046,2024-01-01,13:53,Cold Coffee,Cold Drinks,1,55,55,Card,Madurai,13,1,1,Monday,Monday,January,False,False
ORD000047,2024-01-01,13:56,Latte,Coffee,3,70,210,UPI,Chennai,13,1,1,Monday,Monday,January,False,False
ORD000048,2024-01-01,14:00,Cake,Food,1,55,55,Cash,Chennai,14,1,1,Monday,Monday,January,False,False
ORD000049,2024-01-01,14:01,Cappuccino,Coffee,4,45,180,UPI,Madurai,14,1,1,Monday,Monday,January,False,False
ORD000050,2024-01-01,14:08,Latte,Coffee,3,70,210,Cash,Chennai,14,1,1,Monday,Monday,January,False,False
ORD000051,2024-01-01,14:09,Latte,Coffee,2,65,130,Cash,Coimbatore,14,1,1,Monday,Monday,January,False,False
ORD000052,2024-01-01,14:13,Cold Coffee,Cold Drinks,2,50,100,UPI,Tanjore,14,1,1,Monday,Monday,January,False,False
ORD000053,2024-01-01,14:14,Sandwich,Food,1,40,40,Card,Tanjore,14,1,1,Monday,Monday,January,False,False
ORD000054,2024-01-01,14:21,Americano,Coffee,1,40,40,Card,Madurai,14,1,1,Monday,Monday,January,False,False
ORD000055,2024-01-01,14:21,Espresso,Coffee,1,40,40,Card,Chennai,14,1,1,Monday,Monday,January,False,False
ORD000056,2024-01-01,14:22,Cappuccino,Coffee,1,55,55,Card,Coimbatore,14,1,1,Monday,Monday,January,False,False
ORD000057,2024-01-01,14:24,Tea,Tea,1,15,15,Card,Tanjore,14,1,1,Monday,Monday,January,False,False
ORD000058,2024-01-01,14:25,Cold Coffee,Cold Drinks,3,75,225,Card,Chennai,14,1,1,Monday,Monday,January,False,False
ORD000059,2024-01-01,14:26,Latte,Coffee,3,65,195,UPI,Coimbatore,14,1,1,Monday,Monday,January,False,False
ORD000060,2024-01-01,14:27,Cold Coffee,Cold Drinks,3,75,225,UPI,Chennai,14,1,1,Monday,Monday,January,False,False
ORD000061,2024-01-01,14:30,Cappuccino,Coffee,1,45,45,Cash,Madurai,14,1,1,Monday,Monday,January,False,False
ORD000062,2024-01-01,14:31,Tea,Tea,3,20,60,UPI,Chennai,14,1,1,Monday,Monday,January,False,False
ORD000063,2024-01-01,14:35,Cake,Food,2,38,76,UPI,Tanjore,14,1,1,Monday,Monday,January,False,False
ORD000064,2024-01-01,14:36,Sandwich,Food,3,40,120,Card,Tanjore,14,1,1,Monday,Monday,January,False,False
ORD000065,2024-01-01,14:37,Cappuccino,Coffee,4,55,220,Cash,Coimbatore,14,1,1,Monday,Monday,January,False,False
ORD000066,2024-01-01,14:39,Cold Coffee,Cold Drinks,2,75,150,Card,Chennai,14,1,1,Monday,Monday,January,False,False
ORD000067,2024-01-01,14:41,Sandwich,Food,2,45,90,Card,Madurai,14,1,1,Monday,Monday,January,False,False
